abspos	chromosome_name	start_position	end_position	ensembl_gene_id	hgnc_symbol	band
1	13139	1	11869	14409	ENSG00000223972	DDX11L1	p36.33
2	21987	1	14404	29570	ENSG00000227232	WASH7P	p36.33
3	17402	1	17369	17436	ENSG00000278267	MIR6859-1	p36.33
4	30331	1	29554	31109	ENSG00000243485	RP11-34P13.3	p36.33
5	30434	1	30366	30503	ENSG00000284332	MIR1302-2	p36.33
6	35317	1	34554	36081	ENSG00000237613	FAM138A	p36.33
7	52892	1	52473	53312	ENSG00000268020	OR4G4P	p36.33
8	60857	1	57598	64116	ENSG00000240361	OR4G11P	p36.33
9	68502	1	65419	71585	ENSG00000186092	OR4F5	p36.33
10	111509	1	89295	133723	ENSG00000238009	RP11-34P13.7	p36.33
11	90328	1	89551	91105	ENSG00000239945	RP11-34P13.8	p36.33
12	132930	1	131025	134836	ENSG00000233750	RP11-34P13.10	p36.33
13	135518	1	135141	135895	ENSG00000268903	RP11-34P13.15	p36.33
14	137823	1	137682	137965	ENSG00000269981	RP11-34P13.16	p36.33
15	140064	1	139790	140339	ENSG00000239906	RP11-34P13.14	p36.33
16	157668	1	141474	173862	ENSG00000241860	RP11-34P13.13	p36.33
17	157835	1	157784	157887	ENSG00000222623	RNU6-1100P	p36.33
18	160985	1	160446	161525	ENSG00000241599	RP11-34P13.9	p36.33
19	183435	1	182696	184174	ENSG00000279928	ABC7-43046700E7.1	p36.33
20	190314	1	185217	195411	ENSG00000279457	RP11-34P13.18	p36.33
21	187924	1	187891	187958	ENSG00000273874	MIR6859-2	p36.33
22	308772	1	257864	359681	ENSG00000228463	AP006222.1	p36.33
23	348174	1	347982	348366	ENSG00000236679	RPL23AP24	p36.33
24	362454	1	358857	366052	ENSG00000236601	RP4-669L17.2	p36.33
25	444158	1	365389	522928	ENSG00000237094	RP4-669L17.4	p36.33
26	440051	1	439870	440232	ENSG00000269732	RP4-669L17.6	p36.33
27	451200	1	450703	451697	ENSG00000284733	OR4F29	p36.33
28	488503	1	487101	489906	ENSG00000233653	CICP7	p36.33
